#id,average_sentence_length_in_token,average_characters_per_word,average_syllables_per_word,text_length_in_token,average_number_of_noun_phrases_per_sentence,average_heights,average_number_of_subordinate_clauses_per_sentence,average_count_of_sentences_with_verb_as_root,average_count_of_sentences_with_nouns_as_root,POS_tag_proportion_for_verbs,POS_tag_proportion_for_aux_verbs,POS_tag_proportion_for_nouns,POS_tag_proportion_for_adjectives,POS_tag_proportion_for_punctuations,POS_tag_proportion_for_determiners,POS_tag_proportion_for_pronouns,POS_tag_proportion_for_conjunctions,POS_tag_proportion_for_numerales,POS_tag_proportion_for_adpositions,ttr,lexical_complexity_score,average_number_of_verbs_in_sentence,average_count_of_pronouns_per_sentence,average_count_of_definite_articles_per_sentence,average_count_of_discourse_markers_per_sentenceaverage_semantic_similarity_of_all_nouns,average_semantic_similarity_of_all_verbs,average_semantic_similarity_of_all_adjectives
summary_FFN_maz-10110,21.8,5.825688,2.119266,109,5.6,7,1.0,0.2,0.0,0.183486,0.082569,0.165138,0.100917,0.099174,0.146789,0.082569,0.06422,0.211009,0.082569,0.730769,7.983065,4.0,1.8,1.8,2.4,0.212902,0.39494,0.214825
summary_FFN_maz-10175,15.5,7.0,2.387097,31,4.5,7,0.5,0.5,0.0,0.16129,0.064516,0.290323,0.096774,0.088235,0.225806,0.0,0.0,0.16129,0.096774,0.896552,7.877018,2.5,0.0,1.5,1.5,0.332962,0.490623,0.183535
summary_FFN_maz-10205,17.666667,5.820755,2.066038,106,5.5,6.666667,1.0,0.5,0.0,0.103774,0.04717,0.216981,0.141509,0.109244,0.141509,0.028302,0.009434,0.188679,0.122642,0.78,8.82652,1.833333,0.5,2.0,0.833333,0.189778,0.551246,0.180492
summary_FFN_maz-10207,27.714286,5.690722,1.979381,194,8.428571,7.857143,1.428571,0.714286,0.0,0.134021,0.041237,0.231959,0.082474,0.097674,0.123711,0.06701,0.082474,0.154639,0.082474,0.691892,8.527178,3.714286,1.857143,2.428571,4.142857,0.205673,0.37305,0.272534
summary_FFN_maz-10374,25.5,5.303922,1.872549,102,6.5,7.5,0.5,0.75,0.0,0.088235,0.019608,0.166667,0.068627,0.055556,0.166667,0.04902,0.04902,0.117647,0.156863,0.663265,8.001789,2.25,1.25,3.0,3.5,0.147925,0.239948,0.129477
summary_FFN_maz-10423,18.0,5.537037,1.953704,108,4.0,7.166667,1.0,0.0,0.0,0.138889,0.064815,0.194444,0.111111,0.114754,0.175926,0.055556,0.027778,0.185185,0.111111,0.705882,7.772746,2.5,1.0,2.166667,2.833333,0.160154,0.3849,0.163175
summary_FFN_maz-10503,14.4,5.916667,2.152778,72,3.8,5.2,0.8,0.6,0.0,0.166667,0.069444,0.194444,0.152778,0.111111,0.152778,0.069444,0.027778,0.208333,0.083333,0.776119,8.620585,2.4,1.0,1.6,1.4,0.199341,0.448109,0.17349
summary_FFN_maz-10575,21.8,5.541284,1.981651,109,5.8,6.6,1.6,0.2,0.0,0.165138,0.06422,0.211009,0.091743,0.106557,0.119266,0.055046,0.073394,0.183486,0.12844,0.740385,8.360556,3.6,1.2,1.4,2.2,0.173484,0.410531,0.227197
summary_FFN_maz-10652,27.0,5.37037,1.814815,27,6.0,7,2.0,0.0,0.0,0.222222,0.111111,0.111111,0.074074,0.15625,0.111111,0.111111,0.074074,0.222222,0.037037,0.884615,7.070724,6.0,3.0,2.0,4.0,0.050376,0.481014,0.10229
summary_FFN_maz-10902,16.5,5.454545,2.040404,99,4.5,6.833333,1.333333,0.166667,0.166667,0.212121,0.10101,0.212121,0.080808,0.123894,0.111111,0.070707,0.070707,0.212121,0.090909,0.755319,6.930027,3.5,1.166667,0.666667,1.666667,0.159402,0.389021,0.274969
