#id,#label,average_sentence_length_in_token,average_characters_per_word,average_syllables_per_word,text_length_in_token,average_number_of_noun_phrases_per_sentence,average_heights,average_number_of_subordinate_clauses_per_sentence,average_count_of_sentences_with_verb_as_root,average_count_of_sentences_with_nouns_as_root,POS_tag_proportion_for_verbs,POS_tag_proportion_for_aux_verbs,POS_tag_proportion_for_nouns,POS_tag_proportion_for_adjectives,POS_tag_proportion_for_punctuations,POS_tag_proportion_for_determiners,POS_tag_proportion_for_pronouns,POS_tag_proportion_for_conjunctions,POS_tag_proportion_for_numerales,POS_tag_proportion_for_adpositions,ttr,lexical_complexity_score,average_number_of_verbs_in_sentence,average_count_of_pronouns_per_sentence,average_count_of_definite_articles_per_sentence,average_count_of_discourse_markers_per_sentenceaverage_semantic_similarity_of_all_nouns,average_semantic_similarity_of_all_verbs,average_semantic_similarity_of_all_adjectives
miniklexi_0,0.0,7.285714,4.862745,1.627451,102,2.214286,3.857143,0.071429,0.357143,0.0,0.176471,0.088235,0.235294,0.107843,0.097345,0.058824,0.088235,0.04902,0.176471,0.137255,0.683168,7.406711,1.285714,0.642857,0.142857,1.071429,0.164365,0.339265,0.329539
miniklexi_1,0.0,8.090909,4.494382,1.539326,89,2.454545,4.363636,0.0,0.363636,0.090909,0.11236,0.05618,0.191011,0.05618,0.091837,0.224719,0.011236,0.011236,0.157303,0.146067,0.590909,7.652426,0.909091,0.090909,1.454545,0.272727,0.207224,0.405196,0.241409
miniklexi_2,0.0,7.1875,4.521739,1.634783,115,2.75,3.5,0.3125,0.6875,0.0625,0.121739,0.017391,0.347826,0.026087,0.128788,0.226087,0.052174,0.017391,0.208696,0.113043,0.517544,8.269501,0.875,0.375,1.3125,0.375,0.257176,0.401604,0.011698
miniklexi_3,0.0,7.2,5.0,1.743056,144,2.0,3.85,0.15,0.35,0.0,0.138889,0.076389,0.243056,0.111111,0.1,0.138889,0.083333,0.020833,0.208333,0.090278,0.531469,7.80238,1.0,0.6,0.6,0.8,0.249245,0.449268,0.249822
miniklexi_4,0.0,6.235294,5.132075,1.877358,106,2.176471,3.470588,0.117647,0.470588,0.0,0.141509,0.04717,0.264151,0.066038,0.101695,0.160377,0.084906,0.009434,0.188679,0.122642,0.704762,7.951559,0.882353,0.529412,0.647059,0.411765,0.161453,0.386161,0.202404
miniklexi_5,0.0,7.2,4.729167,1.666667,144,2.4,3.75,0.1,0.5,0.05,0.125,0.048611,0.215278,0.076389,0.09434,0.104167,0.131944,0.027778,0.208333,0.138889,0.65035,8.063159,0.9,0.95,0.5,0.6,0.129006,0.423485,0.217662
klexikon_0,0.5,10.041667,4.850622,1.59751,241,3.083333,4.375,0.5,0.541667,0.041667,0.157676,0.058091,0.195021,0.070539,0.110701,0.103734,0.128631,0.06639,0.161826,0.116183,0.53527,8.310472,1.583333,1.291667,0.625,1.541667,0.198214,0.306355,0.296186
klexikon_1,0.5,9.034483,4.80916,1.614504,262,2.827586,4.37931,0.275862,0.37931,0.137931,0.141221,0.045802,0.179389,0.049618,0.096886,0.19084,0.064885,0.026718,0.160305,0.148855,0.519084,8.322164,1.275862,0.586207,1.310345,0.758621,0.163882,0.351095,0.192055
klexikon_2,0.5,9.386364,4.932203,1.726392,413,3.272727,4.25,0.5,0.545455,0.022727,0.140436,0.05569,0.268765,0.072639,0.130526,0.164649,0.087167,0.041162,0.196126,0.099274,0.414044,8.674772,1.318182,0.818182,1.181818,0.818182,0.239647,0.403226,0.240596
klexikon_3,0.5,8.918367,5.345538,1.846682,437,2.734694,4.244898,0.142857,0.469388,0.081633,0.139588,0.050343,0.258581,0.100686,0.097308,0.15103,0.05492,0.04119,0.183066,0.102975,0.487414,8.464846,1.244898,0.489796,0.918367,0.77551,0.140432,0.379566,0.156105
klexikon_4,0.5,9.952381,5.550239,2.04067,418,3.404762,4.52381,0.595238,0.452381,0.047619,0.138756,0.057416,0.251196,0.043062,0.157576,0.198565,0.093301,0.038278,0.227273,0.090909,0.447368,8.742675,1.380952,0.928571,1.452381,0.880952,0.091701,0.401625,0.209678
klexikon_5,0.5,10.384615,4.848148,1.714815,270,3.5,4.961538,0.423077,0.538462,0.076923,0.137037,0.048148,0.237037,0.066667,0.1,0.137037,0.092593,0.048148,0.166667,0.140741,0.57037,8.464003,1.423077,0.961538,1.0,0.961538,0.154641,0.404204,0.204067
wiki_0,1.0,12.846154,5.616766,2.041916,167,3.076923,5.230769,0.846154,0.076923,0.0,0.149701,0.083832,0.197605,0.167665,0.152284,0.137725,0.017964,0.053892,0.251497,0.083832,0.610778,9.159327,1.923077,0.230769,1.230769,1.153846,0.119973,0.403493,0.174364
wiki_1,1.0,15.142857,5.382075,1.834906,212,5.0,5.571429,0.571429,0.357143,0.071429,0.084906,0.023585,0.174528,0.084906,0.109244,0.212264,0.037736,0.061321,0.160377,0.127358,0.599057,9.511999,1.285714,0.571429,2.785714,1.285714,0.155416,0.429522,0.245084
wiki_2,1.0,13.428571,6.276596,2.361702,94,4.571429,4.714286,0.714286,0.428571,0.0,0.085106,0.031915,0.276596,0.095745,0.172414,0.223404,0.031915,0.042553,0.244681,0.148936,0.638298,9.013721,1.142857,0.428571,2.0,1.428571,0.304084,0.430577,0.20718
wiki_3,1.0,18.0,5.988889,2.133333,90,5.8,6.2,1.4,0.8,0.0,0.088889,0.011111,0.311111,0.088889,0.166667,0.2,0.044444,0.044444,0.211111,0.111111,0.688889,8.852027,1.6,0.8,3.2,1.6,0.231974,0.436649,0.20768
wiki_4,1.0,19.333333,6.482759,2.396552,58,6.333333,7.333333,1.666667,0.333333,0.0,0.137931,0.051724,0.241379,0.103448,0.194444,0.189655,0.086207,0.034483,0.258621,0.137931,0.724138,8.154572,2.666667,1.666667,3.0,2.0,0.062072,0.226184,0.143939
wiki_5,1.0,11.75,6.659574,2.680851,47,4.25,5.5,0.5,0.5,0.0,0.12766,0.042553,0.212766,0.085106,0.20339,0.148936,0.042553,0.06383,0.340426,0.106383,0.851064,9.078294,1.5,0.5,1.25,0.75,0.116986,0.483881,0.319911
